Player_Name,Player_id,Age,Position,Height,Weight,Season_Number,Total_Minutes_Played,USG_Percentage,TOV_Percentage,OREB_Percentage,DREB_Percentage,AST_Percentage,STL_Percentage,BLK_Percentage
Alex Caruso,0,22.1,PG,77,188,4,1067,0.156478,0.258467,0.042344,0.099221,0.311484,0.042601,0.015509
Alex Caruso,0,21.1,PG,77,188,3,1038,0.190553,0.270651,0.028109,0.140754,0.348483,0.042056,0.00256
Alex Caruso,0,20.1,PG,77,188,2,1013,0.193751,0.2354,0.017365,0.121104,0.367084,0.043292,0.033405
Alex Caruso,0,19.1,PG,77,188,1,833,0.187925,0.269848,0.037924,0.129736,0.275589,0.05062,0.023838
Andre Roberson,1,21.3,PF,79,206,3,1036,0.198937,0.188718,0.105571,0.270531,0.094164,0.040123,0.043539
Andre Roberson,1,20.3,PF,79,206,2,1036,0.210992,0.155863,0.124119,0.292312,0.09215,0.02759,0.06839
Andre Roberson,1,19.3,PF,79,206,1,882,0.147235,0.188324,0.16262,0.27275,0.072839,0.033682,0.049065
Anthony Davis,2,19.1,PF,82,222,1,1281,0.187459,0.087734,0.115578,0.237604,0.074908,0.025936,0.137467
Bam Adebayo,3,19.7,C,82,243,1,1145,0.183999,0.141643,0.112018,0.172154,0.04696,0.012483,0.049265
Ben Simmons,4,19.7,PF,82,239,1,1151,0.260511,0.166215,0.097957,0.277861,0.274375,0.031453,0.024527
Bradley Beal,5,18.8,SG,77,202,1,1267,0.229021,0.144129,0.047502,0.181181,0.127271,0.025156,0.026016
C.J. McCollum,6,21.5,PG,75,197,4,372,0.372695,0.123973,0.040114,0.144304,0.251274,0.028009,0.01172
C.J. McCollum,6,20.5,PG,75,197,3,1145,0.334797,0.105328,0.050351,0.174067,0.253853,0.046536,0.017816
C.J. McCollum,6,19.5,PG,75,197,2,1124,0.331256,0.119617,0.070015,0.210971,0.15048,0.040557,0.019269
Cameron Johnson,7,23.1,F,81,205,4,1077,0.219035,0.103567,0.064876,0.135781,0.13858,0.021538,0.010648
Cameron Johnson,7,22.1,F,81,205,3,762,0.196839,0.087785,0.065158,0.110955,0.132156,0.013392,0.007181
Cameron Johnson,7,21.1,F,81,205,2,1099,0.169898,0.107478,0.025242,0.128132,0.143963,0.017124,0.010365
Cameron Johnson,7,20.1,F,81,205,1,359,0.213814,0.100294,0.043576,0.143863,0.080576,0.015459,0.015291
Chris Boucher,8,24.2,PF,82,182,2,709,0.234565,0.09216,0.093136,0.196381,0.030742,0.010073,0.116597
Chris Boucher,8,23.2,PF,82,182,1,963,0.205591,0.105911,0.1243,0.210776,0.030041,0.018354,0.118874
Christian Wood,9,19.5,PF,83,216,2,1021,0.266045,0.1533,0.103214,0.227394,0.085076,0.006791,0.078583
Christian Wood,9,18.5,PF,83,216,1,390,0.194432,0.107817,0.073157,0.185824,0.050876,0.015667,0.067645
Damian Lillard,10,21.7,PG,75,189,4,1059,0.328604,0.106331,0.018751,0.139996,0.279816,0.025905,0.007184
Damian Lillard,10,20.7,PG,75,189,3,228,0.343063,0.168539,0.028932,0.150664,0.293168,0.030151,0.010118
De'Anthony Melton,11,18.8,PG,75,193,1,972,0.176831,0.186611,0.05956,0.136597,0.225287,0.041444,0.038627
Dejounte Murray,12,19.5,PG,77,170,1,1139,0.258835,0.164415,0.042356,0.141712,0.257288,0.028472,0.007922
Delon Wright,13,22.9,PG,78,181,2,1142,0.229778,0.143752,0.040721,0.136259,0.327781,0.040027,0.032228
Delon Wright,13,21.9,PG,78,181,1,1119,0.220224,0.183061,0.044897,0.158495,0.296494,0.039196,0.035056
Derrick White,14,22.7,PG,77,190,1,1085,0.256963,0.145276,0.034702,0.106865,0.282602,0.022394,0.048496
Desmond Bane,15,21.8,SG,78,215,4,1123,0.242587,0.139362,0.046438,0.165921,0.260745,0.02433,0.015798
Desmond Bane,15,20.8,SG,78,215,3,1315,0.195935,0.096078,0.044511,0.139075,0.136353,0.018789,0.016138
Desmond Bane,15,19.8,SG,78,215,2,1005,0.180935,0.159744,0.01901,0.143735,0.139808,0.018009,0.00849
Desmond Bane,15,18.8,SG,78,215,1,789,0.161586,0.150674,0.039205,0.124154,0.087112,0.008337,0.012036
Donovan Mitchell,16,20.6,SG,75,211,2,1098,0.246579,0.102279,0.03717,0.128797,0.159797,0.037988,0.017386
Donovan Mitchell,16,19.6,SG,75,211,1,591,0.209223,0.122409,0.066545,0.136117,0.158176,0.025875,0.006018
Draymond Green,17,22.1,PF,79,236,4,1229,0.282248,0.169666,0.081656,0.284041,0.242058,0.027484,0.034332
Draymond Green,17,21.1,PF,79,236,3,1042,0.247297,0.157005,0.107934,0.261005,0.317028,0.034139,0.038975
Fred VanVleet,18,22.1,PG,72,197,4,900,0.238775,0.131132,0.013896,0.121942,0.395588,0.037627,0.004383
